option,type,file
BACKLIGHT_AAT2870,tristate,drivers/video/backlight/Kconfig
PATA_NS87410,tristate,drivers/ata/Kconfig
COMMON_CLK_FSL_FLEXSPI,tristate,drivers/clk/Kconfig
PCMCIA_SPECTRUM,tristate,drivers/net/wireless/intersil/orinoco/Kconfig
L2TP_IP,tristate,net/l2tp/Kconfig
RADIO_SI476X,tristate,drivers/media/radio/Kconfig
SECURITY_SAFESETID,bool,security/safesetid/Kconfig
OF_IRQ,bool,drivers/of/Kconfig
MTD_REDBOOT_PARTS,tristate,drivers/mtd/parsers/Kconfig
DLHL60D,tristate,drivers/iio/pressure/Kconfig
MTD_PHYSMAP_GEMINI,bool,drivers/mtd/maps/Kconfig
TEGRA_HSP_MBOX,bool,drivers/mailbox/Kconfig
VBOXGUEST,tristate,drivers/virt/vboxguest/Kconfig
BOOTPARAM_HUNG_TASK_PANIC_VALUE,integer,lib/Kconfig.debug
BT_MSFTEXT,bool,net/bluetooth/Kconfig
MTD_UBI_FASTMAP,bool,drivers/mtd/ubi/Kconfig
LIBFDT,bool,lib/Kconfig
SND_SOC_TLV320AIC23_SPI,tristate,sound/soc/codecs/Kconfig
SND_SOC_IMG_SPDIF_IN,tristate,sound/soc/img/Kconfig
NET_FAILOVER,tristate,drivers/net/Kconfig
SND_SOC_FSL_XCVR,tristate,sound/soc/fsl/Kconfig
SKGE_DEBUG,bool,drivers/net/ethernet/marvell/Kconfig
RTC_DRV_AB8500,tristate,drivers/rtc/Kconfig
USB_STV06XX,tristate,drivers/media/usb/gspca/stv06xx/Kconfig
SERIAL_IMX_CONSOLE,tristate,drivers/tty/serial/Kconfig
PPP_DEFLATE,tristate,drivers/net/ppp/Kconfig
USELIB,bool,init/Kconfig
REGULATOR_DA903X,tristate,drivers/regulator/Kconfig
NTFS_RW,bool,fs/ntfs/Kconfig
VGA_SWITCHEROO,bool,drivers/gpu/vga/Kconfig
PSAMPLE,tristate,net/psample/Kconfig
OMAP4_THERMAL,bool,drivers/thermal/ti-soc-thermal/Kconfig
USB_ISP1301,tristate,drivers/usb/phy/Kconfig
STRIP_ASM_SYMS,bool,lib/Kconfig.debug
GPIO_BRCMSTB,tristate,drivers/gpio/Kconfig
TOUCHSCREEN_DA9052,tristate,drivers/input/touchscreen/Kconfig
B53_MDIO_DRIVER,tristate,drivers/net/dsa/b53/Kconfig
FSL_DPAA,bool,drivers/soc/fsl/qbman/Kconfig
MTD_NAND_QCOM,tristate,drivers/mtd/nand/raw/Kconfig
IRQ_REMAP,bool,drivers/iommu/Kconfig
MLX5_TC_CT,bool,drivers/net/ethernet/mellanox/mlx5/core/Kconfig
PCMCIA_NINJA_SCSI,tristate,drivers/scsi/pcmcia/Kconfig
DVB_PT3,tristate,drivers/media/pci/pt3/Kconfig
TEXTSEARCH_KMP,tristate,lib/Kconfig
IO_URING,bool,init/Kconfig
MAX31856,tristate,drivers/iio/temperature/Kconfig
SND_S3C2412_SOC_I2S,tristate,sound/soc/samsung/Kconfig
SERIO_AMBAKMI,tristate,drivers/input/serio/Kconfig
DEBUG_KMEMLEAK_TEST,tristate,lib/Kconfig.debug
PCIE_ALTERA_MSI,tristate,drivers/pci/controller/Kconfig
BT1_APB,bool,drivers/bus/Kconfig
COMEDI_AMPLC_PC263_PCI,tristate,drivers/comedi/Kconfig
SND_MAESTRO3,tristate,sound/pci/Kconfig
W1_SLAVE_SMEM,tristate,drivers/w1/slaves/Kconfig
VT,bool,drivers/tty/Kconfig
HAVE_KERNEL_ZSTD,bool,init/Kconfig
USB_NET_NET1080,tristate,drivers/net/usb/Kconfig
USB_EHCI_HCD_PPC_OF,bool,drivers/usb/host/Kconfig
VMAP_PFN,bool,mm/Kconfig
HID_REDRAGON,tristate,drivers/hid/Kconfig
DMABUF_HEAPS,bool,drivers/dma-buf/Kconfig
PCIE_IPROC_PLATFORM,tristate,drivers/pci/controller/Kconfig
STK3310,tristate,drivers/iio/light/Kconfig
SENSORS_F71805F,tristate,drivers/hwmon/Kconfig
SUNRPC_DEBUG,bool,net/sunrpc/Kconfig
HABANA_AI,tristate,drivers/misc/habanalabs/Kconfig
AD7124,tristate,drivers/iio/adc/Kconfig
COMMON_CLK_MT6765_VCODECSYS,bool,drivers/clk/mediatek/Kconfig
DEBUG_BLOCK_EXT_DEVT,bool,lib/Kconfig.debug
DTC,bool,drivers/of/Kconfig
SND_SAMSUNG_PCM,tristate,sound/soc/samsung/Kconfig
NETFILTER_XT_TARGET_CLASSIFY,tristate,net/netfilter/Kconfig
INET6_ESP_OFFLOAD,tristate,net/ipv6/Kconfig
SND_SOC_IMG_SPDIF_OUT,tristate,sound/soc/img/Kconfig
NVMEM_SNVS_LPGPR,tristate,drivers/nvmem/Kconfig
CCS811,tristate,drivers/iio/chemical/Kconfig
HID_TIVO,tristate,drivers/hid/Kconfig
HID_ICADE,tristate,drivers/hid/Kconfig
SERIAL_21285_CONSOLE,bool,drivers/tty/serial/Kconfig
PCI_ATS,bool,drivers/pci/Kconfig
MISDN_IPAC,tristate,drivers/isdn/hardware/mISDN/Kconfig
PARIDE_KTTI,tristate,drivers/block/paride/Kconfig
F2FS_FS_SECURITY,bool,fs/f2fs/Kconfig
LTC2497,tristate,drivers/iio/adc/Kconfig
USB_NET_AQC111,tristate,drivers/net/usb/Kconfig
MACB,tristate,drivers/net/ethernet/cadence/Kconfig
SND_HDA_CODEC_CIRRUS,tristate,sound/pci/hda/Kconfig
GPIO_PCI_IDIO_16,tristate,drivers/gpio/Kconfig
MVME16x_NET,tristate,drivers/net/ethernet/i825xx/Kconfig
REGMAP_SPI,tristate,drivers/base/regmap/Kconfig
UNISYSSPAR,bool,drivers/staging/unisys/Kconfig
BT_BREDR,bool,net/bluetooth/Kconfig
DMA_ACPI,bool,drivers/dma/Kconfig
VIDEO_HEXIUM_GEMINI,tristate,drivers/media/pci/saa7146/Kconfig
WATCHDOG_HANDLE_BOOT_ENABLED,bool,drivers/watchdog/Kconfig
SBUS,bool,arch/x86/Kconfig
EXTCON_SM5502,tristate,drivers/extcon/Kconfig
ARM_OMAP2PLUS_CPUFREQ,bool,drivers/cpufreq/Kconfig.arm
CB710_DEBUG_ASSUMPTIONS,bool,drivers/misc/cb710/Kconfig
MSCC_OCELOT_SWITCH_LIB,tristate,drivers/net/ethernet/mscc/Kconfig
INTEL_SOC_PMIC_CHTWC,bool,drivers/mfd/Kconfig
LEDS_BCM6358,tristate,drivers/leds/Kconfig
QE_USB,bool,drivers/soc/fsl/qe/Kconfig
LASI_82596,tristate,drivers/net/ethernet/i825xx/Kconfig
SATA_RCAR,tristate,drivers/ata/Kconfig
SPLIT_PTLOCK_CPUS,integer,mm/Kconfig
COMMON_CLK_HI655X,tristate,drivers/clk/Kconfig
LEDS_AS3645A,tristate,drivers/leds/Kconfig
USB_R8A66597,tristate,drivers/usb/gadget/udc/Kconfig
SND_SOC_OMAP_ABE_TWL6040,tristate,sound/soc/ti/Kconfig
SBITMAP,bool,lib/Kconfig
I2C_SIBYTE,tristate,drivers/i2c/busses/Kconfig
SCSI_IBMVSCSI,tristate,drivers/scsi/Kconfig
IMX_INTMUX,bool,drivers/irqchip/Kconfig
INPUT_DRV2665_HAPTICS,tristate,drivers/input/misc/Kconfig
CLK_R8A77960,bool,drivers/clk/renesas/Kconfig
EDAC_E752X,tristate,drivers/edac/Kconfig
GTP,tristate,drivers/net/Kconfig
DW_APB_TIMER,bool,drivers/clocksource/Kconfig
GVP11_SCSI,tristate,drivers/scsi/Kconfig
WATCHDOG_PRETIMEOUT_GOV_SEL,tristate,drivers/watchdog/Kconfig
EXTCON_MAX3355,tristate,drivers/extcon/Kconfig
MSPRO_BLOCK,tristate,drivers/memstick/core/Kconfig
OMAP_SSI,tristate,drivers/hsi/controllers/Kconfig
DVB_TUNER_ITD1000,tristate,drivers/media/dvb-frontends/Kconfig
GPIO_XLP,tristate,drivers/gpio/Kconfig
POWER_SUPPLY,bool,drivers/power/supply/Kconfig
DM_PERSISTENT_DATA,tristate,drivers/md/persistent-data/Kconfig
PATA_VIA,tristate,drivers/ata/Kconfig
IBMVMC,tristate,drivers/misc/Kconfig
DAVICOM_PHY,tristate,drivers/net/phy/Kconfig
SCSI_UFSHCD_PLATFORM,tristate,drivers/scsi/ufs/Kconfig
SCTP_COOKIE_HMAC_MD5,bool,net/sctp/Kconfig
OCFS2_DEBUG_FS,bool,fs/ocfs2/Kconfig
PARAVIRT_XXL,bool,arch/x86/Kconfig
MMC_DAVINCI,tristate,drivers/mmc/host/Kconfig
CIFS_XATTR,bool,fs/cifs/Kconfig
BATTERY_TOSA,tristate,drivers/power/supply/Kconfig
CRYPTO_ZSTD,tristate,crypto/Kconfig
KEXEC_JUMP,bool,arch/x86/Kconfig
MFD_ROHM_BD70528,tristate,drivers/mfd/Kconfig
PHY_DM816X_USB,tristate,drivers/phy/ti/Kconfig
CLK_LGM_CGU,bool,drivers/clk/x86/Kconfig
SENSORS_ADM1275,tristate,drivers/hwmon/pmbus/Kconfig
NETLOGIC_XLR_NET,tristate,drivers/staging/netlogic/Kconfig
SND_DMAENGINE_PCM,tristate,sound/core/Kconfig
I2C_PCA_PLATFORM,tristate,drivers/i2c/busses/Kconfig
SERIAL_RDA,bool,drivers/tty/serial/Kconfig
NETFILTER_XT_TARGET_NFQUEUE,tristate,net/netfilter/Kconfig
SECURITY_SELINUX_BOOTPARAM,bool,security/selinux/Kconfig
ARCH_HAS_UACCESS_FLUSHCACHE,bool,lib/Kconfig
LITEX_SUBREG_SIZE,integer,drivers/soc/litex/Kconfig
CAN_8DEV_USB,tristate,drivers/net/can/usb/Kconfig
PAHOLE_HAS_SPLIT_BTF,bool,lib/Kconfig.debug
SND_HDA_INPUT_BEEP,bool,sound/pci/hda/Kconfig
QCOM_GENI_SE,tristate,drivers/soc/qcom/Kconfig
WEXT_CORE,bool,net/wireless/Kconfig
BLK_DEV_CMD64X,tristate,drivers/ide/Kconfig
I2C_DESIGNWARE_CORE,tristate,drivers/i2c/busses/Kconfig
SYSC_R8A7742,bool,drivers/soc/renesas/Kconfig
USB_GSPCA_MR97310A,tristate,drivers/media/usb/gspca/Kconfig
DVB_HOPPER,tristate,drivers/media/pci/mantis/Kconfig
GENERIC_IRQ_CHIP,bool,kernel/irq/Kconfig
ACPI_THERMAL_REL,tristate,drivers/thermal/intel/int340x_thermal/Kconfig
CRYPTO_SKCIPHER2,tristate,crypto/Kconfig
VIDEO_ATOMISP_GC0310,tristate,drivers/staging/media/atomisp/i2c/Kconfig
NETLABEL,bool,net/netlabel/Kconfig
VIDEO_WM8775,tristate,drivers/media/i2c/Kconfig
QCOM_SCM_DOWNLOAD_MODE_DEFAULT,bool,drivers/firmware/Kconfig
RING_BUFFER_STARTUP_TEST,bool,kernel/trace/Kconfig
CHARGER_SBS,tristate,drivers/power/supply/Kconfig
NLS,tristate,fs/nls/Kconfig
REGULATOR_MAX77826,tristate,drivers/regulator/Kconfig
CRYPTO_DEV_QAT_4XXX,tristate,drivers/crypto/qat/Kconfig
PINCTRL_ARTPEC6,bool,drivers/pinctrl/Kconfig
NF_CONNTRACK_TIMEOUT,bool,net/netfilter/Kconfig
GPIO_SCH311X,tristate,drivers/gpio/Kconfig
MDIO_BUS_MUX_MMIOREG,tristate,drivers/net/mdio/Kconfig
BLK_DEV_IDEDMA_SFF,bool,drivers/ide/Kconfig
MT76_SDIO,tristate,drivers/net/wireless/mediatek/mt76/Kconfig
INPUT_PCAP,tristate,drivers/input/misc/Kconfig
CLK_IMX8MM,tristate,drivers/clk/imx/Kconfig
SUN50I_H6_CCU,bool,drivers/clk/sunxi-ng/Kconfig
SND_SOC_HDAC_HDMI,tristate,sound/soc/codecs/Kconfig
INPUT_PALMAS_PWRBUTTON,tristate,drivers/input/misc/Kconfig
APM_DO_ENABLE,bool,arch/x86/Kconfig
V4L2_FLASH_LED_CLASS,tristate,drivers/media/v4l2-core/Kconfig
MFD_ARIZONA,bool,drivers/mfd/Kconfig
SND_VERBOSE_PRINTK,bool,sound/core/Kconfig
DRM_I915_DEBUG_RUNTIME_PM,bool,drivers/gpu/drm/i915/Kconfig.debug
PINCTRL_SUN5I,bool,drivers/pinctrl/sunxi/Kconfig
ST_SLIM_REMOTEPROC,tristate,drivers/remoteproc/Kconfig
VIDEO_COBALT,tristate,drivers/media/pci/cobalt/Kconfig
IP_SET_HASH_IPPORTNET,tristate,net/netfilter/ipset/Kconfig
SMC_DIAG,tristate,net/smc/Kconfig
SURFACE_DTX,tristate,drivers/platform/surface/Kconfig
LEDS_APU,tristate,drivers/leds/Kconfig
CDROM_PKTCDVD_BUFFERS,integer,drivers/block/Kconfig
SCHED_AUTOGROUP,bool,init/Kconfig
XILINX_LL_TEMAC,tristate,drivers/net/ethernet/xilinx/Kconfig
COMMON_CLK_MT7629_ETHSYS,bool,drivers/clk/mediatek/Kconfig
ASPEED_KCS_IPMI_BMC,tristate,drivers/char/ipmi/Kconfig
HI13X1_GMAC,bool,drivers/net/ethernet/hisilicon/Kconfig
CLS_U32_PERF,bool,net/sched/Kconfig
COMMON_CLK_MT8183_MFGCFG,bool,drivers/clk/mediatek/Kconfig
COMEDI_PCL730,tristate,drivers/comedi/Kconfig
SND_SOC_TEGRA20_AC97,tristate,sound/soc/tegra/Kconfig
GPIO_TPS65912,tristate,drivers/gpio/Kconfig
SPI_SPIDEV,tristate,drivers/spi/Kconfig
VIDEO_OMAP3,tristate,drivers/media/platform/Kconfig
EFI_BOOTLOADER_CONTROL,tristate,drivers/firmware/efi/Kconfig
AS_IS_GNU,bool,init/Kconfig
MEDIA_CAMERA_SUPPORT,bool,drivers/media/Kconfig
BT_MTKSDIO,tristate,drivers/bluetooth/Kconfig
PRISM2_USB,tristate,drivers/staging/wlan-ng/Kconfig
BVME6000_NET,tristate,drivers/net/ethernet/i825xx/Kconfig
ADM8211,tristate,drivers/net/wireless/admtek/Kconfig
IMA_SECURE_AND_OR_TRUSTED_BOOT,bool,security/integrity/ima/Kconfig
MFD_WM8997,bool,drivers/mfd/Kconfig
POWER_SUPPLY_DEBUG,bool,drivers/power/supply/Kconfig
ACENIC_OMIT_TIGON_I,bool,drivers/net/ethernet/alteon/Kconfig
HWPOISON_INJECT,tristate,mm/Kconfig
SND_SOC_AD73311,tristate,sound/soc/codecs/Kconfig
SND_SOC_MAX98373_I2C,tristate,sound/soc/codecs/Kconfig
PINCTRL_SH_PFC,bool,drivers/pinctrl/renesas/Kconfig
MAX1241,tristate,drivers/iio/adc/Kconfig
NTB_TOOL,tristate,drivers/ntb/test/Kconfig
KASAN_GENERIC,bool,lib/Kconfig.kasan
VME_FAKE,tristate,drivers/vme/bridges/Kconfig
SENSORS_MAX20730,tristate,drivers/hwmon/pmbus/Kconfig
FB_TFT_ILI9325,tristate,drivers/staging/fbtft/Kconfig
SND_SOC_UNIPHIER_AIO,tristate,sound/soc/uniphier/Kconfig
RTL8188EE,tristate,drivers/net/wireless/realtek/rtlwifi/Kconfig
SAMPLE_WATCHDOG,bool,samples/Kconfig
DM_VERITY_VERIFY_ROOTHASH_SIG,bool,drivers/md/Kconfig
NVEC_PAZ00,tristate,drivers/staging/nvec/Kconfig
FB_PXA_SMARTPANEL,bool,drivers/video/fbdev/Kconfig
FB_AMIGA_OCS,bool,drivers/video/fbdev/Kconfig
ATM_HORIZON_DEBUG,bool,drivers/atm/Kconfig
QUOTA_DEBUG,bool,fs/quota/Kconfig
NETFILTER_XT_TARGET_SECMARK,tristate,net/netfilter/Kconfig
HID_MAGICMOUSE,tristate,drivers/hid/Kconfig
CROS_EC_SENSORHUB,tristate,drivers/platform/chrome/Kconfig
MICROSEMI_PHY,tristate,drivers/net/phy/Kconfig
INGENIC_CGU_COMMON,bool,drivers/clk/ingenic/Kconfig
VIDEO_TW686X,tristate,drivers/media/pci/tw686x/Kconfig
INTEL_CHT_INT33FE,tristate,drivers/platform/x86/Kconfig
NFT_COUNTER,tristate,net/netfilter/Kconfig
TI_DAC7311,tristate,drivers/iio/dac/Kconfig
SND_SOC_AK4554,tristate,sound/soc/codecs/Kconfig
I2C_GPIO,tristate,drivers/i2c/busses/Kconfig
SCSI_A4000T,tristate,drivers/scsi/Kconfig
MFD_CS47L35,bool,drivers/mfd/Kconfig
VIDEO_TDA9840,tristate,drivers/media/i2c/Kconfig
INET_UDP_DIAG,tristate,net/ipv4/Kconfig
MEDIA_SDR_SUPPORT,bool,drivers/media/Kconfig
DEBUG_KMEMLEAK_DEFAULT_OFF,bool,lib/Kconfig.debug
USB_CONFIGFS_ACM,bool,drivers/usb/gadget/Kconfig
CGROUP_BPF,bool,init/Kconfig
CRYPTO_DEV_NX_ENCRYPT,tristate,drivers/crypto/nx/Kconfig
DRM_ANALOGIX_ANX6345,tristate,drivers/gpu/drm/bridge/analogix/Kconfig
SCx200_ACB,tristate,drivers/i2c/busses/Kconfig
USB_MV_OTG,tristate,drivers/usb/phy/Kconfig
RAPIDIO_ENUM_BASIC,tristate,drivers/rapidio/Kconfig
XEN_SAVE_RESTORE,bool,arch/x86/xen/Kconfig
SND_SOC_TLV320AIC3X_SPI,tristate,sound/soc/codecs/Kconfig
DVB_USB_ZD1301,tristate,drivers/media/usb/dvb-usb-v2/Kconfig
TOUCHSCREEN_USB_ETURBO,bool,drivers/input/touchscreen/Kconfig
ATM_IDT77252_DEBUG,bool,drivers/atm/Kconfig
CRYPTO_DEV_FSL_DPAA2_CAAM,tristate,drivers/crypto/caam/Kconfig
DELL_LAPTOP,tristate,drivers/platform/x86/dell/Kconfig
PPPOE,tristate,drivers/net/ppp/Kconfig
IPV6_SEG6_HMAC,bool,net/ipv6/Kconfig
CRYPTO_CRCT10DIF_PCLMUL,tristate,crypto/Kconfig
XFRM_MIGRATE,bool,net/xfrm/Kconfig
WL1251_SDIO,tristate,drivers/net/wireless/ti/wl1251/Kconfig
KCSAN_KUNIT_TEST,tristate,lib/Kconfig.kcsan
GPIO_TQMX86,tristate,drivers/gpio/Kconfig
PCI_REALLOC_ENABLE_AUTO,bool,drivers/pci/Kconfig
X86_INTEL_PSTATE,bool,drivers/cpufreq/Kconfig.x86
TMPFS_INODE64,bool,fs/Kconfig
DEFAULT_HTCP,bool,net/ipv4/Kconfig
SND_LAYLA24,tristate,sound/pci/Kconfig
ARCH_R8A77980,bool,drivers/soc/renesas/Kconfig
NFC_PN533_USB,tristate,drivers/nfc/pn533/Kconfig
ZONE_DMA,bool,arch/x86/Kconfig
OMAP2_DSS_COLLECT_IRQ_STATS,bool,drivers/gpu/drm/omapdrm/Kconfig
VIDEO_CX25821,tristate,drivers/media/pci/cx25821/Kconfig
PINCTRL_ASPEED_G6,bool,drivers/pinctrl/aspeed/Kconfig
USB_GSPCA_SPCA508,tristate,drivers/media/usb/gspca/Kconfig
USB_LEGOTOWER,tristate,drivers/usb/misc/Kconfig
LEDS_LP8501,tristate,drivers/leds/Kconfig
PSTORE_FTRACE,bool,fs/pstore/Kconfig
I2C_ROBOTFUZZ_OSIF,tristate,drivers/i2c/busses/Kconfig
MTD_DATAFLASH,tristate,drivers/mtd/devices/Kconfig
COMMON_CLK_MT7622_HIFSYS,bool,drivers/clk/mediatek/Kconfig
DVB_DRX39XYJ,tristate,drivers/media/dvb-frontends/drx39xyj/Kconfig
FB_MB862XX_I2C,bool,drivers/video/fbdev/Kconfig
SND_SOC_SAMSUNG_S3C24XX_UDA134X,tristate,sound/soc/samsung/Kconfig
QLCNIC_HWMON,bool,drivers/net/ethernet/qlogic/Kconfig
ACPI_I2C_OPREGION,bool,drivers/i2c/Kconfig
SUN50I_H6_R_CCU,bool,drivers/clk/sunxi-ng/Kconfig
INGENIC_CGU_JZ4770,bool,drivers/clk/ingenic/Kconfig
CPU_THERMAL,bool,drivers/thermal/Kconfig
UBSAN_ENUM,bool,lib/Kconfig.ubsan
SND_PXA2XX_SOC_E750,tristate,sound/soc/pxa/Kconfig
DEV_DAX_HMEM,tristate,drivers/dax/Kconfig
PINCTRL_AXP209,tristate,drivers/pinctrl/Kconfig
SNI_82596,tristate,drivers/net/ethernet/i825xx/Kconfig
CFI_PERMISSIVE,bool,arch/Kconfig
QNX6FS_DEBUG,bool,fs/qnx6/Kconfig
DRM_V3D,tristate,drivers/gpu/drm/v3d/Kconfig
DVB_USB_DIBUSB_MC,tristate,drivers/media/usb/dvb-usb/Kconfig
GPIO_MM_LANTIQ,bool,drivers/gpio/Kconfig
PINCTRL_MT6765,tristate,drivers/pinctrl/mediatek/Kconfig
I2C_CBUS_GPIO,tristate,drivers/i2c/busses/Kconfig
DVB_USB_VP702X,tristate,drivers/media/usb/dvb-usb/Kconfig
SAMPLE_KFIFO,tristate,samples/Kconfig
ROCKER,tristate,drivers/net/ethernet/rocker/Kconfig
CAN_CC770_ISA,tristate,drivers/net/can/cc770/Kconfig
OWL_PM_DOMAINS,bool,drivers/soc/actions/Kconfig
NETFILTER_XT_MATCH_OWNER,tristate,net/netfilter/Kconfig
GPIO_WM8994,tristate,drivers/gpio/Kconfig
I2C_SIS5595,tristate,drivers/i2c/busses/Kconfig
DWMAC_QCOM_ETHQOS,tristate,drivers/net/ethernet/stmicro/stmmac/Kconfig
SND_SEQ_DEVICE,tristate,sound/core/Kconfig
SUN_PARTITION,bool,block/partitions/Kconfig
DA8XX_REMOTEPROC,tristate,drivers/remoteproc/Kconfig
IP_NF_TARGET_ECN,tristate,net/ipv4/netfilter/Kconfig
PSTORE_DEFLATE_COMPRESS_DEFAULT,bool,fs/pstore/Kconfig
MVEBU_DEVBUS,bool,drivers/memory/Kconfig
SND_GINA24,tristate,sound/pci/Kconfig
NFC_NXP_NCI_I2C,tristate,drivers/nfc/nxp-nci/Kconfig
MD_FAULTY,tristate,drivers/md/Kconfig
SYN_COOKIES,bool,net/ipv4/Kconfig
RING_BUFFER_VALIDATE_TIME_DELTAS,bool,kernel/trace/Kconfig
SENSORS_IR35221,tristate,drivers/hwmon/pmbus/Kconfig
REED_SOLOMON_DEC8,bool,lib/Kconfig
IRQ_WORK,bool,init/Kconfig
ATH9K,tristate,drivers/net/wireless/ath/ath9k/Kconfig
PCI_MSI,bool,drivers/pci/Kconfig
IP_ADVANCED_ROUTER,bool,net/ipv4/Kconfig
AGP_EFFICEON,tristate,drivers/char/agp/Kconfig
MISDN_NETJET,tristate,drivers/isdn/hardware/mISDN/Kconfig
ARCNET_COM20020_CS,tristate,drivers/net/arcnet/Kconfig
ARCH_SUPPORTS_SHADOW_CALL_STACK,bool,arch/Kconfig
COMEDI_CB_PCIDDA,tristate,drivers/comedi/Kconfig
DRM_XEN_FRONTEND,tristate,drivers/gpu/drm/xen/Kconfig
MACE_AAUI_PORT,bool,drivers/net/ethernet/apple/Kconfig
FB_SYS_COPYAREA,tristate,drivers/video/fbdev/Kconfig
CHTCRC_PMIC_OPREGION,bool,drivers/acpi/pmic/Kconfig
HAVE_ARCH_RANDOMIZE_KSTACK_OFFSET,bool,arch/Kconfig
RESET_NPCM,bool,drivers/reset/Kconfig
SENSORS_OCC_P8_I2C,tristate,drivers/hwmon/occ/Kconfig
HW_RANDOM_N2RNG,tristate,drivers/char/hw_random/Kconfig
X86_64_SMP,bool,arch/x86/Kconfig
HTU21,tristate,drivers/iio/humidity/Kconfig
USB_EHCI_PCI,tristate,drivers/usb/host/Kconfig
XILINX_AXI_EMAC,tristate,drivers/net/ethernet/xilinx/Kconfig
PATA_CYPRESS,tristate,drivers/ata/Kconfig
MTD_NAND_JZ4780,tristate,drivers/mtd/nand/raw/ingenic/Kconfig
CLEANCACHE,bool,mm/Kconfig
TYPEC_RT1711H,tristate,drivers/usb/typec/tcpm/Kconfig
USB_OHCI_HCD_OMAP1,tristate,drivers/usb/host/Kconfig
SPI_BITBANG,tristate,drivers/spi/Kconfig
MEDIA_TUNER_MT2063,tristate,drivers/media/tuners/Kconfig
IPMI_KCS_BMC,tristate,drivers/char/ipmi/Kconfig
USB_STORAGE_ALAUDA,tristate,drivers/usb/storage/Kconfig
NET_VENDOR_FUJITSU,bool,drivers/net/ethernet/fujitsu/Kconfig
JOYSTICK_GRIP_MP,tristate,drivers/input/joystick/Kconfig
SPARSEMEM_EXTREME,bool,mm/Kconfig
OPTEE,tristate,drivers/tee/optee/Kconfig
DMARD09,tristate,drivers/iio/accel/Kconfig
W1_SLAVE_DS2406,tristate,drivers/w1/slaves/Kconfig
B44_PCICORE_AUTOSELECT,bool,drivers/net/ethernet/broadcom/Kconfig
IWLWIFI,tristate,drivers/net/wireless/intel/iwlwifi/Kconfig
PROFILE_ALL_BRANCHES,bool,kernel/trace/Kconfig
USB_COMMON,tristate,drivers/usb/common/Kconfig
FONT_6x11,bool,lib/fonts/Kconfig
DRM_I915_SW_FENCE_CHECK_DAG,bool,drivers/gpu/drm/i915/Kconfig.debug
CYPRESS_FIRMWARE,tristate,drivers/media/common/Kconfig
BPF_KPROBE_OVERRIDE,bool,kernel/trace/Kconfig
SENSORS_ADM1031,tristate,drivers/hwmon/Kconfig
BCM63XX_ENET,tristate,drivers/net/ethernet/broadcom/Kconfig
TASK_XACCT,bool,init/Kconfig
POWER_RESET_SC27XX,tristate,drivers/power/reset/Kconfig
HIX5HD2_GMAC,tristate,drivers/net/ethernet/hisilicon/Kconfig
ARCNET_1051,tristate,drivers/net/arcnet/Kconfig
BINFMT_FLAT_OLD_ALWAYS_RAM,bool,fs/Kconfig.binfmt
ARMADA_375_CLK,bool,drivers/clk/mvebu/Kconfig
MEDIA_TUNER_TDA18271,tristate,drivers/media/tuners/Kconfig
IP_SET_BITMAP_PORT,tristate,net/netfilter/ipset/Kconfig
IP6_NF_IPTABLES,tristate,net/ipv6/netfilter/Kconfig
LZ4_COMPRESS,tristate,lib/Kconfig
MTD_NAND_DISKONCHIP_PROBE_HIGH,bool,drivers/mtd/nand/raw/Kconfig
ACPI_TABLE_OVERRIDE_VIA_BUILTIN_INITRD,bool,drivers/acpi/Kconfig
SND_SOC_SIGMADSP_REGMAP,tristate,sound/soc/codecs/Kconfig
KVM_VFIO,bool,virt/kvm/Kconfig
SENSORS_FSP_3Y,tristate,drivers/hwmon/pmbus/Kconfig
SND_SOC_MT8173_RT5650_RT5676,tristate,sound/soc/mediatek/Kconfig
PHY_QCOM_USB_HSIC,tristate,drivers/phy/qualcomm/Kconfig
PCMCIA_ALCHEMY_DEVBOARD,tristate,drivers/pcmcia/Kconfig
AMCC_PPC440SPE_ADMA,tristate,drivers/dma/Kconfig
USB_HSIC_USB3503,tristate,drivers/usb/misc/Kconfig
X86_PCC_CPUFREQ,tristate,drivers/cpufreq/Kconfig.x86
QFMT_V1,tristate,fs/quota/Kconfig
DVB_IX2505V,tristate,drivers/media/dvb-frontends/Kconfig
SAMPLE_AUXDISPLAY,bool,samples/Kconfig
TOUCHSCREEN_USB_ZYTRONIC,bool,drivers/input/touchscreen/Kconfig
PMAC_SMU,bool,drivers/macintosh/Kconfig
NL80211_TESTMODE,bool,net/wireless/Kconfig
INPUT_PM8XXX_VIBRATOR,tristate,drivers/input/misc/Kconfig
ATM_HORIZON,tristate,drivers/atm/Kconfig
SND_SONICVIBES,tristate,sound/pci/Kconfig
PINCTRL_IMX,tristate,drivers/pinctrl/freescale/Kconfig
FIXED_PHY,tristate,drivers/net/phy/Kconfig
SND_SOC_NOKIA_N810,tristate,sound/soc/ti/Kconfig
CHELSIO_T4_FCOE,bool,drivers/net/ethernet/chelsio/Kconfig
DVB_SP2,tristate,drivers/media/dvb-frontends/Kconfig
MFD_SUN6I_PRCM,bool,drivers/mfd/Kconfig
GPIO_WS16C48,tristate,drivers/gpio/Kconfig
GPIO_ACPI,bool,drivers/gpio/Kconfig
MTD_ONENAND_OMAP2,tristate,drivers/mtd/nand/onenand/Kconfig
MFD_MAX8998,bool,drivers/mfd/Kconfig
