option,type,file
IP_NF_TARGET_REDIRECT,tristate,net/ipv4/netfilter/Kconfig
SERIO_ALTERA_PS2,tristate,drivers/input/serio/Kconfig
PINCTRL_IPQ8064,tristate,drivers/pinctrl/qcom/Kconfig
DRM_GMA500,tristate,drivers/gpu/drm/gma500/Kconfig
RESET_PISTACHIO,bool,drivers/reset/Kconfig
DRM_LEGACY,bool,drivers/gpu/drm/Kconfig
ARCH_WANTS_THP_SWAP,bool,mm/Kconfig
RTC_DRV_NTXEC,tristate,drivers/rtc/Kconfig
I2C_BCM_IPROC,tristate,drivers/i2c/busses/Kconfig
TURRIS_MOX_RWTM,tristate,drivers/firmware/Kconfig
CRC32,tristate,lib/Kconfig
FPGA_MGR_SOCFPGA,tristate,drivers/fpga/Kconfig
ARCH_INLINE_READ_LOCK_IRQ,bool,kernel/Kconfig.locks
I2C_BOARDINFO,bool,drivers/i2c/Kconfig
ATH9K_HTC_DEBUGFS,bool,drivers/net/wireless/ath/ath9k/Kconfig
DWC_XLGMAC_PCI,tristate,drivers/net/ethernet/synopsys/Kconfig
TI_ADC12138,tristate,drivers/iio/adc/Kconfig
SND_SOC_SM8250,tristate,sound/soc/qcom/Kconfig
NPCM_ADC,tristate,drivers/iio/adc/Kconfig
DMI_SYSFS,tristate,drivers/firmware/Kconfig
SPEAKUP_SYNTH_LTLK,tristate,drivers/accessibility/speakup/Kconfig
XEN_PV,bool,arch/x86/xen/Kconfig
PINCTRL_MESON_G12A,tristate,drivers/pinctrl/meson/Kconfig
SPI_NPCM_FIU,tristate,drivers/spi/Kconfig
HAVE_AOUT,bool,fs/Kconfig.binfmt
DRM_VKMS,tristate,drivers/gpu/drm/Kconfig
CROS_EC_PROTO,bool,drivers/platform/chrome/Kconfig
USB_ALI_M5632,bool,drivers/net/usb/Kconfig
LPC18XX_DAC,tristate,drivers/iio/dac/Kconfig
NFT_FIB_INET,tristate,net/netfilter/Kconfig
DM_SNAPSHOT,tristate,drivers/md/Kconfig
TOUCHSCREEN_WM831X,tristate,drivers/input/touchscreen/Kconfig
ATH5K_AHB,bool,drivers/net/wireless/ath/ath5k/Kconfig
CRYPTO_DEV_SUN8I_CE_PRNG,bool,drivers/crypto/allwinner/Kconfig
CARMINE_DRAM_CUSTOM,bool,drivers/video/fbdev/Kconfig
IP_VS_MH,tristate,net/netfilter/ipvs/Kconfig
MFD_WM831X_I2C,bool,drivers/mfd/Kconfig
PWM_KEEMBAY,tristate,drivers/pwm/Kconfig
DRM_AMD_DC_DCN,bool,drivers/gpu/drm/amd/display/Kconfig
TOUCHSCREEN_RASPBERRYPI_FW,tristate,drivers/input/touchscreen/Kconfig
DRM_PANEL_BOE_HIMAX8279D,tristate,drivers/gpu/drm/panel/Kconfig
IMA_APPRAISE_BOOTPARAM,bool,security/integrity/ima/Kconfig
CAIF,tristate,net/caif/Kconfig
MEMREGION,bool,lib/Kconfig
PNFS_FLEXFILE_LAYOUT,tristate,fs/nfs/Kconfig
PTP_1588_CLOCK_IXP46X,tristate,drivers/net/ethernet/xscale/Kconfig
IR_JVC_DECODER,tristate,drivers/media/rc/Kconfig
INTEL_QUARK_DTS_THERMAL,tristate,drivers/thermal/intel/Kconfig
X86_MCE,bool,arch/x86/Kconfig
FB_OMAP2_CONNECTOR_HDMI,tristate,drivers/video/fbdev/omap2/omapfb/displays/Kconfig
IR_IMG_RAW,bool,drivers/media/rc/img-ir/Kconfig
CRYPTO_DEV_SUN4I_SS,tristate,drivers/crypto/allwinner/Kconfig
